Alsóvadas	Dolný Vadičov	Szlovákia
Alsóvalkó	Valcău de Jos	Románia
Alsóvály	Valice	Szlovákia
Alsóvárad	Tekovský Hrádok	Szlovákia
Alsóváradja	Oarda de Jos	Románia
Alsóvarány	Vrani	Románia
Alsóvárca	Oarţa de Jos	Románia
Alsóvárosvíz	Orăştioara de Jos	Románia
Alsóvásárd	Dolné Trhovište	Szlovákia
Alsóvéghegy	Donji Koncovčak	Horvátország
Alsóvenice	Veneţia de Jos	Románia
Alsóverecke	Nyizsnyi Vorota	Ukrajna
Alsóveresmart	Mala Kopanya	Ukrajna
Alsóvesztény	Dolné Vestenice	Szlovákia
Alsóvidra	Vidra	Románia
Alsóvirányos	Nižná Sitnica	Szlovákia
Alsóvisnyó	Višňové	Szlovákia
Alsóvisó	Vişeu de Jos	Románia
Alsóvist	Viştea de Jos	Románia
Alsóvízköz	Nižný Svidník	Szlovákia
Alsóviznice	Nyizsnya Viznica	Ukrajna
Alsózáros	Dolné Záriečie	Szlovákia
Alsózélle	Dolné Zelenice	Szlovákia
Alsózellő	Malé Zlievce	Szlovákia
Alsózorlenc	Zorlenţu Mare	Románia
Alsózubrica	Zubrzyca	Lengyelország
Alsózúgó	Nižné Ružbachy	Szlovákia
Alsózsadány	Dolná Ždana	Szlovákia
Alsózsember	Dolné Žemberovce	Szlovákia
Alsózsuk	Jucu de Jos	Románia
Altorja	Turia	Románia
Álun	Alun	Románia
Alváca	Vaţa de Jos	Románia
Alvinc	Vinţu de Jos	Románia
Amac	Amaţi	Románia
Amadékarcsa	Amadeovské Korčany	Szlovákia
Andaháza	Andiče	Szlovákia
Andód	Andovce	Szlovákia
Andorháza	Adrijanci	Szlovénia
Andorhegy	Andrejci	Szlovénia
Andrásfalu	Liptovská Ondrašová	Szlovákia
Andrásfalva	Karadjordjevo	Szerbia
Andrásföldje	Mali Beograd	Szerbia
Andrásháza	Andrijivka	Ukrajna
Andrási	Pača	Szlovákia
Andrásmező	Orešković	Szerbia
Andrásnépe	Zobnatica	Szerbia
Andrasóc	Andrijivka	Ukrajna
Andrássytelep	Avrămeşti	Románia
Andrástelke	Gornja Rogatica	Szerbia
Andrásvágás	Ondrašovce	Szlovákia
Andrásvára	Orešković	Szerbia
Andrásszállás	Bački Sokolac	Szerbia
Andronyásza	Andreneasa	Románia
Angofa	Angofa	Románia
Angyalkút	Fântânele	Románia
Angyalos	Angheluş	Románia
Aninosza	Aninoasa	Románia
Annafalva	Hanková	Szlovákia
Ant	Ant	Románia
Antalfalva	Kovačica	Szerbia
Antalóc	Antaloc	Ukrajna
Antalokpataka	Valea lui Antaloc	Románia
Antos	Antăş	Románia
Apa	Apa	Románia
Apáca	Apaţa	Románia
Apácaszakállas	Opatovský Sokolec	Szlovákia
Apádia	Apadia	Románia
Apafalva	Opava	Szlovákia
Apahegy	Viile Apei	Románia
Apahida	Apahida	Románia
Apaj	Opoj	Szlovákia
Apanagyfalu	Nuşeni	Románia
Apatelek	Mocrea	Románia
Apáthegyalja	Lehôtka pod Brehy	Szlovákia
Apáti	Apateu	Románia
Apáti	Opatovac	Horvátország
Apatin	Apatin	Szerbia
Apátka	Opátka	Szlovákia
Apátkeresztúr	Crestur	Románia
Apátkolos	Veľký Klíž	Szlovákia
Apátlévna	Livinské Opatovce	Szlovákia
Apátmarót	Opatove Moravce	Szlovákia
Apátszentmihály	Bohunice	Szlovákia
Apátújfalu	Opatovská Nová Ves	Szlovákia
Apaújfalu	Nou Săsesc	Románia
Apold	Apold	Románia
Appony	Oponice	Szlovákia
Aracs	Vranjevo	Szerbia
Arad	Arad	Románia
Aradi	Aradac	Szerbia
Aradkövi	Cuvin	Románia
Arany	Uroi	Románia
Aranyág	Herneacova	Románia
Aranybánya	Zlatá Baňa	Szlovákia
Aranyida	Zlatá Idka	Szlovákia
Aranykút	Aruncuta	Románia
Aranymező	Băbeni	Románia
Aranyos	Arănieş	Románia
Aranyosbánya	Baia de Arieş	Románia
Aranyosd	Zlatníky	Szlovákia
Aranyosegerbegy	Viişoara	Románia
Aranyosfő	Scărişoara	Románia
Aranyosgerend	Luncani	Románia
Aranyosgyéres	Câmpia Turzii	Románia
Aranyosivánfalva	Cacova Ierii	Románia
Aranyoslóna	Luna	Románia
Aranyoslonka	Lunca	Románia
Aranyosmarót	Zlaté Moravce	Szlovákia
Aranyosmeggyes	Medieşu Aurit	Románia
Aranyosmohács	Măhăceni	Románia
Aranyosmóric	Moruţ	Románia
Aranyospatak	Zlatník	Szlovákia
Aranyospolyán	Poiana	Románia
Aranyosponor	Ponorel	Románia
Aranyosrákos	Vălenii de Arieş	Románia
Aranyosronk	Runc	Románia
Aranyosvágás	Vadu Moţilor	Románia
Aranyosszentmiklós	Sânnicoară	Románia
Aranyosszohodol	Sohodol	Románia
Aranypataka	Zlaté	Szlovákia
Árapatak	Araci	Románia
Árdánfalva	Ardanovce	Szlovákia
