вахмистр	őrmester
вет.ст.л-т	főhadnagy
ген.-м-р	vezérőrnagy
гизедеш	tizedes
гизедешь	tizedes
гизидеш	tizedes
глнвейд	honvéd
гомвлет	honvéd
гонвед	honvéd
гонвеж	honvéd
гонвей	honvéd
гонвейд	honvéd
гонвейн	honvéd
гонвейт	honvéd
гонвейц	honvéd
гонвенд	honvéd
гонвет	honvéd
гонвид	honvéd
гонвио	honvéd
гонвод	honvéd
гонгвейд	honvéd
гоновед	honvéd
гуутерфюрер	őrparancsnok
десятник	csapat-(munka-)vezető
дюлаат	
еверзете	őrvezető
ервезет	őrvezető
ервезет.	őrvezető
ервезете	őrvezető
ервезетей	őrvezető
ервезетер	őrvezető
ервезето	őrvezető
ервеэете	őrvezető
еревезетей	őrvezető
ермаштер	őrmester
ермештер	őrmester
ерф.	őrvezető
еф.	őrvezető
еф.дат	őrvezető
ефр	őrvezető
ефр.	őrvezető
ефр.( сапожник)	őrvezető (cipész)
ефр., моусор	őrvezető
ефрейтор	őrvezető
жанд.	csendőr
жандарм	csendőr
жизедеш	tizedes
закозвезете	szakaszvezető
заслуш	zászlós
ирвезете	őrvezető
ирвештар	őrmester
ирмеентер	őrmester
ирмештей	őrmester
ирмештер	őrmester
ирмештор	őrmester
кавалер.	lovas
кадет	hadapród
какосвер...	szakaszvezető
кап.	kapitány
капитан	kapitány
каплер	káplár (tizedes)
капрал	káplár (tizedes)
ком.отд.	rajparancsnok
ком.отделения	rajparancsnok
команд.отд.	rajparancsnok
команд.отряда	csapatparancsnok
командир отделения	rajparancsnok
конвед	honvéd
конвейд	honvéd
курсант	katonaiskolai növendék
л	hadnagy, levente
лейт.	hadnagy
лейтенант	hadnagy
лейтенант зап.	tartalékos hadnagy
лейтенант или мл. лейт.	hadnagy,vagy alhadnagy
лолдат	honvéd
л-т	hadnagy
майор	őrnagy
матрос	matróz
мл л-т	alhadnagy
мл. лейт.	alhadnagy
мл. лет.	alhadnagy
мл. л-т	alhadnagy
мл. серж.	szakaszvezető
мл. сержант	szakaszvezető
мл. сержантсолдат	szakaszvezető katona
мл. с-т	szakaszvezető
мл.ефр.	őrvezető
мл.ефрейтор	őrvezető
мл.капрал	káplár (tizedes)
мл.командир	parancsnok-helyettes
мл.лейт.	alhadnagy
мл.лейтенант	alhadnagy
