Абау	Abaúj/R
Абауйторна	Abaúj-Torna/R
Абауйторно	Abaúj-Torna/R
Абаун	Abaúj/R
Абаут	Abaúj/R
Абоуйторно	Abaúj-Torna/R
Абуй	Abaúj/R
Алба	Gyulafehérvár/R
Асод	Aszód/R
Багбодрок	Bács-Bodrog/R
Балатон	Balaton/R
Бачбадрог	Bács-Bodrog/R
Бачбадрок	Bács-Bodrog/R
Бачбодро	Bács-Bodrog/R
Бачбодрог	Bács-Bodrog/R
Бачбодрок	Bács-Bodrog/R
Бачбодрон	Bács-Bodrog/R
Бачбодроч	Bács-Bodrog/R
Бачбодрук	Bács-Bodrog/R
Бачбордок	Bács-Bodrog/R
Бая	Baja/R
Беикеш	Békés/R
Бейкет	Békés/R
Бейнеш	Békés/R
Бекаш	Békés/R
Бекет	Békés/R
Бекош	Békés/R
Бекши	Békés/R
Бенкеш	Békés/R
Берегово	Bereg/R
Береговск	Bereg/R
Береговского	Bereg/R
Береговской	Bereg/R
Берегсас	Beregszász/R
Берексаз	Beregszász/R
Берексас	Beregszász/R
Берецкая	Bereg/R
Берлин	Berlin/R
Берлина	Berlin/R
Берск	Bereg/R
Бешт	Pest/R
Бештмедье	Pest/R
Биор	Győr/R
Бистрица	Beszterce/R
Богбодрок	Bács-Bodrog/R
Божбодрог	Bács-Bodrog/R
Борнхольм	Bornholm/R
Боронё	Baranya/R
Бороньё	Baranya/R
Бороньо	Baranya/R
Боронья	Baranya/R
Бороню	Baranya/R
Бочбодрог	Bács-Bodrog/R
Бочбодрок	Bács-Bodgrog/R
Боя	Baja/R
Братислав	Pozsony/R
Братислава	Pozsony/R
Братиславы	Pozsony/R
Братислова	Pozsony/R
Бротислава	Pozsony/R
Буда	Buda/R
Будо	Buda/R
Буковина	Bukovina/R
Бэнкеш	Békés/R
Бэшт	Pest/R
Вац	Vác/R
Вашвар	Vasvár/R
Венгрия	Magyarország/R
Вёспрым	Veszprém/R
Вестрем	Veszprém/R
Вестрим	Veszprém/R
Вестрин	Veszprém/R
Вестрым	Veszprém/R
Ворон.	Voronyezs/R
Воронеж	Voronyezs/R
Воронеж.	Voronyezs/R
Воронежск.	Voronyezs/R
Воронежской	Voronyezs/R
Восприм	Veszprém/R
Вошвар	Vasvár/R
Ганду	Hajdú/R
Гемир	Gömör/R
Геммер	Gömör/R
Генград	Csongrád/R
Гёнград	Csongrád/R
Гер	Győr/R
Гонад	Csanád/R
Гонадмедье	Csanád/R
Гонград	Csongrád/R
Гонду	Hajdú/R
Грац	Graz/R
Гунидора	Hunyad/R
Гюер	Győr/R
Дебрецен	Debrecen/R
Девечер	Devecser/R
Деер	Győr/R
Деермедье	Győr/R
Дендеш	Gyöngyös/R
Деор	Győr/R
Дер.	Győr/R
Дердь	Győr/R
Дердю	Gyergyó/R
Дерть	Győr/R
Деэр	Győr/R
Диер	Győr/R
Дона	Don/R
Дубно	Dubno/R
Дунафельдвар	Dunaföldvár/R
Дюер	Győr/R
Дюэр	Győr/R
Евеш	Heves/R
Зак.	Kárpátalja/R
Закарпат	Kárpátalja/R
Закарпатской	Kárpátalja/R
Зволен	Zólyom/R
Земблин	Zemplén/R
Земблын	Zemplén/R
Земили	Zemplén/R
Земилим	Zemplén/R
Землен	Zemplén/R
Земпле	Zemplén/R
