Аасло	László/R
Абелл	Ábel/R
Агата	Ágota/R
Агиеш	Ágnes/R
Агнаш	Ágnes/R
Агнес	Ágnes/R
Агнеш	Ágnes/R
Агнешь	Ágnes/R
Агода	Ágota/R
Агостин	Ágoston/R
Агостолн	Ágoston/R
Агота	Ágota/R
Агото	Ágota/R
Агошпон	Ágoston/R
Агоштин	Ágoston/R
Агошто	Ágoston/R
Агоштонни-Эржейбет	Ágostonné-Erzsébet/R
Агоштош	Ágoston/R
Агужтоп	Ágoston/R
Агуштом	Ágoston/R
Адам	Ádám/R
Адамм	Ádám/R
Адамне	Ádámné/R
Адамней	Ádámné/R
Адамний	Ádámné/R
Адамны	Ádámné/R
Адамов	Ádám/R
Адам-Янош	Ádám-János/R
Аделберг	Adalbert/R
Адольборт	Adalbert/R
Адоштон	Ágoston/R
Адреас	András/R
Адуард	Eduárd/R
Айдраш	András/R
Айлош	Alois;Alajos;Lajos/R
Айлошь	Alois;Alajos;Lajos/R
Акдраш	András/R
Акуштоль	Ágoston/R
Алада	Alida;Aladár/R
Алаиш	Alois;Alajos;Lajos/R
Алайюш	Alajos;Lajos/R
Алаюуш	Alajos;Lajos/R
Ал-др	Aladár/R
Алдраш	András/R
Александ	Sándor/R
Александар	Alexandra;Alexander;Alexandru;Sándor/R
Александер	Alexander;Sándor/R
Александор	Sándor/R
Александр	Alekszandr;Sándor/R
Александре	Sándor/R
Александрио	Alexandra;Alexander;Alexandru;Sándor/R
Александро	Sándor/R
Александров	Sándor/R
Александру	Alexandru;Sándor/R
Александр-Шандор	Sándor/R
Александур	Alexandra;Alexander;Alexandru;Sándor/R
Алексондар	Alexandra;Alexander;Alexandru;Sándor/R
Алексондр	Sándor/R
Алесандр	Alexandra;Alexander;Alexandru;Sándor/R
Аликсандр	Alexandra;Alexander;Alexandru;Sándor/R
Аллоиш	Alois;Alajos;Lajos/R
Алож	Alois;Alajos;Lajos/R
Алоиз	Alois;Alajos;Lajos/R
Алоис	Alois;Alajos/R
Алоиш	Alois;Alajos;Lajos/R
Алойе	Alajos/R
Алойз	Alois;Alajos;Lajos/R
Алойс	Alajos/R
Алойш	Alois;Alajos;Lajos/R
Аломош	Alajos;Lajos/R
Алонш	Alois;Alajos;Lajos/R
Алоуш	Alajos;Lajos/R
Алоши	Alois;Alajos;Lajos/R
Алпад	Árpád/R
Алфредни-Маргита	Alfrédné-Margit/R
Альборт	Albert/R
Альбрит	Albert/R
Альперт	Albert/R
Альфрод	Alfréd/R
Алядар	Aladár/R
Аляеш	Alajos;Lajos/R
Аляйус	Alajos;Lajos/R
Амалия	Amália/R
Амбруш-Ференц	Ambrus-Ferenc/R
Амре	Imre/R
Ана	Anna/R
Анамерия	Annamária/R
Анбраш	András/R
Анбреаш	András/R
Ангела	Angéla/R
Ангело	Angéla/R
Андела	Angéla/R
Андорьян	Adorján/R
Андрал	András/R
Андран	Adrás/R
Андрат	András/R
Андрауш	András/R
Андрах	András/R
Андрац	András/R
Андраш	András/R
Андраши	András/R
Андрашие	Andrásné/R
Андрашис	Andrásné/R
Андрашне	Andrásné/R
Андрашней	Andrásné/R
Андрашни	Andrásné/R
Андрашны	Andrásné/R
Андрашов	András/R
Андре	André;Andrej;András/R
Андреас	Andreas;András/R
Андреаш	Andreasz;András/R
Андреж	András/R
Андреиш	András/R
Андрелш	András/R
Андрес	András/R
Андриан	Adrián/R
Андриас	Andreasz;András/R
Андриаш	Andreasz;András/R
Андрия	Andrea/R
Андриян	Adrián/R
Андрияс	András/R
Андрияш	András/R
Андроц	András/R
Андрошне	Andrásné/R
Андрошны	Andrásné/R
Андрюш	András/R
Андряш	András/R
Ане	Anna/R
Аниа	Anna/R
Анитен	Anita/R
Ания	Anna;Anita/R
Анка	Anna/R
Анна	Anna/R
Анна-Мария	Annamária;Anna-Mária/R
Анна Мария	Anna-Mária;Annamária/R
Анна-Марья	Anna-Mária;Annamária/R
Анндраш	András/R
Анне	Anna/R
Анно	Anna/R
Анораш	András/R
Ант	Antal/R
Антальне	Antalné/R
Антолие	Antalné/R
Антолов	Antal/R
Антольне	Antalné/R
Антольни	Antalné/R
Антон	Anton;Antal/R
Антон-Бейло	Antal-Béla/R
Антония	Antónia/R
Анураш	András/R
Аовжеф	József/R
Аполония	Apollónia/R
Аранка	Aranka/R
Аранко	Aranka/R
Арбат	Arbat/R
Аржебет	Erzsébet/R
Аржибет	Erzsébet/R
Арнадь	Árpád/R
Арнед	Árpád/R
Ароль	Áron/R
Арпаб	Árpád/R
Арпан	Árpád/R
Арпант	Árpád/R
Арпарт	Árpád/R
Арпау	Árpád/R
Арпет	Árpád/R
Аскар	Oszkár/R
Аугостон	Ágoston/R
Аурелия	Aurélia/R
Байло	Béla/R
Бакинт	Bálint/R
Бал	Pál/R
Балант	Bálint/R
Балаус	Balázs/R
Балаши	Balázs/R
Балашт	Balázs/R
Балдижан	Boldizsár/R
Баленд	Bálint/R
Балент	Bálint/R
Баликт	Bálint/R
Балинат	Bálint/R
Балинда	Bálint/R
Балинет	Bálint/R
Балинит	Bálint/R
Балинэт	Bálint/R
Балипт	Bálint/R
Балит	Bálint/R
Балихт	Bálint/R
Баллинд	Bálint/R
Баллинт	Bálint/R
Балог	Balog;Balogh/R
Балоджар	Boldizsár/R
Балонт	Bálint/R
Бальдижа	Boldizsár/R
Баляж	Balázs/R
Баляш	Balázs/R
Баминт	Bálint/R
Бандижар	Boldizsár/R
Баолинд	Bálint/R
Барбало	Borbála/R
Барбара	Barbara/R
Барнабан	Barnabás/R
Барнадаш	Barnabás/R
Барнаташ	Barnabás/R
Барнобат	Barnabás/R
Барноташ	Barnabás/R
Бартоло	Bertalan/R
Бартолом	Bartolomeo;Bertalan/R
Бартоломе	Bartolomeo;Bertalan/R
Бартоломей	Bartolomej;Bartolomeo; Bartolómeó;Bertalan/R
Батинд	Bálint/R
Беало	Béla/R
Беденек	Benedek/R
Бедямин	Benjámin/R
Беила	Béla/R
Беило	Béla/R
Бейли	Béla/R
Бейлло	Béla/R
Бейль	Béla/R
Бейна	Béla/R
Бела-Иштван	Béla-István/R
Белай	Béla/R
Белани	Béláné/R
Белат	Béla/R
Белау	Béla/R
Белах	Béla/R
Беледек	Benedek/R
Белио	Béla/R
